Bird Species;Plot Klosterpark;Replicate 1.1;Replicate 1.2;Replicate 1.3;Plot city forest;Replicate 2.1;Replicate 2.2;Replicate 2.3;Plot Forest Weende;Replicate 3.1;Replicate 3.2;Replicate 3.3;Plot Forest Billinghäuser Schlucht;Replicate 4.1;Replicate 4.2;Replicate 4.3;;Replicate 5.1;Replicate 5.2;Replicate 5.3;;Replicate 6.1;Replicate 6.2;Replicate 6.3
Turdus merula;1;5;6;5;2;3;1;1;3;3;3;1;4;;2;1;5;;;;6;;;
Turdus philomelos;1;2;;;2;;;;3;;;;4;;;;5;;;;6;;;
Turdus viscivorus;1;;3;;2;;;;3;;;;4;;;;5;;;;6;;;
Columba palumbus;1;4;2;4;2;3;3;1;3;;3;2;4;1;1;2;5;;;;6;;;
Sylvia atricapilla;1;1;;1;2;;1;2;3;;;;4;3;3;5;5;;;;6;;;
Sylvia communis;1;;;;2;;;;3;;;;4;;;;5;;;;6;;;
Sylvia curruca;1;;;;2;;;;3;;;;4;;;;5;;;;6;;;
Sylvia borin;1;;;;2;;;;3;;;;4;;;;5;;;;6;;;
Phylloscopus sibilatrix;1;;;;2;;;;3;;;;4;;;;5;;;;6;;;
Phylloscopus collybita;1;;2;1;2;;;;3;2;3;2;4;1;3;2;5;;;;6;;;
Phylloscopus trochilus;1;;;;2;;;;3;;;;4;;;;5;;;;6;;;
Regulus regulus;1;;;;2;;;;3;;;;4;;;;5;;;;6;;;
Regulus ignicapilla;1;;1;;2;1;1;;3;;;;4;2;1;1;5;;;;6;;;
Parus major;1;1;2;1;2;;1;2;3;;3;3;4;2;1;1;5;;;;6;;;
Parus caeruleus;1;1;3;1;2;1;1;;3;2;;;4;;2;;5;;;;6;;;
Aegithalos caudatus;1;;;;2;;;;3;;;;4;;;;5;;;;6;;;
Sitta europaea;1;;;;2;;;;3;;;2;4;;;;5;;;;6;;;
Certhia familiaris;1;;;;2;;;;3;;;;4;;;;5;;;;6;;;
Certhia brachydactyla;1;;;;2;1;;;3;;;;4;;;;5;;;;6;;;
Garrulus glandarius;1;;;;2;;;;3;;;;4;;;;5;;;;6;;;
Pica pica;1;;;;2;;;;3;;;;4;;;;5;;;;6;;;
Corvus monedula;1;;;;2;;;;3;;;;4;;;;5;;;;6;;;
Corvus corone;1;1;5;4;2;;;;3;1;2;3;4;;2;;5;;;;6;;;
Sturnus vulgaris;1;;;;2;;;;3;;;;4;;;;5;;;;6;;;
Passer domesticus;1;;;2;2;;;;3;;;;4;;;;5;;;;6;;;
Fringilla coelebs;1;2;3;4;2;7;5;5;3;4;3;3;4;2;2;2;5;;;;6;;;
Serinus serinus;1;;;;2;;;;3;;;;4;;;;5;;;;6;;;
Carduelis chloris;1;;;;2;;;;3;;;;4;;;;5;;;;6;;;
Carduelis carduelis;1;2;;;2;;;;3;;;;4;;;;5;;;;6;;;
Pyrrhula pyrrhula;1;;;;2;;;1;3;;;;4;;;;5;;;;6;;;
Emberiza citrinella;1;;;;2;;;;3;;;;4;;;;5;;;;6;;;
Anas platyrhynchos;1;;;2;2;;;;3;;;;4;;;;5;;;;6;;;
Apus apus;1;;7;3;2;;;;3;;;;4;;;;5;;;;6;;;
Picus viridis;1;;;;2;;;;3;;;;4;;;;5;;;;6;;;
Dryocopus martius;1;;;;2;;;;3;;1;;4;;;;5;;;;6;;;
Dendrocopos major;1;;;;2;3;;3;3;;3;;4;1;1;;5;;;;6;;;
Motacilla alba;1;;;;2;;;;3;;;;4;;;;5;;;;6;;;
Troglodytes troglodytes;1;;1;1;2;;;1;3;;;;4;;;;5;;;;6;;;
Prunella modularis;1;;;;2;;;;3;;;;4;;;;5;;;;6;;;
Erithacus rubecula;1;;;1;2;;;1;3;;1;;4;;;1;5;;;;6;;;
Luscinia luscinia;1;;;;2;;;;3;;;;4;;;;5;;;;6;;;
Luscinia megarhynchos;1;;;;2;;;;3;;;;4;;;;5;;;;6;;;
Phoenicurus ochruros;1;;;;2;;;;3;;;;4;;;;5;;;;6;;;
Phoenicurus phoenicurus;1;;;;2;;;;3;;;;4;;;;5;;;;6;;;
Muscicapa striata;1;1;;;2;;;;3;;;;4;;;;5;;;;6;;;
Gallinula chloropus;1;1;1;;2;;;;3;;;;4;;;;5;;;;6;;;
Dryobates minor;1;;;1;2;;;;3;;;;4;;;;5;;;;6;;;
Unknown species city forest;1;;;;2;1;;;3;;;;4;;;;5;;;;6;;;
Anthus trivialis;1;;;;2;;;;3;1;;;4;;;;5;;;;6;;;
