Tree species 1.1;Circumference 1.1;Tree species 1.2;Circumference 1.2;Tree species 1.3;Circumference 1.3;Tree species 2.1;Circumference 2.1;Tree species 2.2;Circumference 2.2;Tree species 2.3;Circumference 2.3;Tree species 3.1;Circumference 3.1;Tree species 3.2;Circumference 3.2;Tree species 3.3;Circumference 3.3;Tree species 4.1;Circumference 4.1;Tree species 4.2;Circumference 4.2;Tree species 4.3;Circumference 4.3;Tree species 5.1;Circumference 5.1;Tree species 5.2;Circumference 5.2;Tree species 5.3;Circumference 5.3;Tree species 6.1;Circumference 6.1;Tree species 6.2;Circumference 6.2;Tree species 6.3;Circumference 6.3
Aesculus hippocastanum;77;Tilia platyphyllos;339;Catalpa speciosa;174;Acer platanoides;162;Fagus sylvatica;43;Pinus nigra;183;Prunus avium;108;Fagus sylvatica;54;Fagus sylvatica;133;Fagus sylvatica;125;Fagus sylvatica;160;Fagus sylvatica;171;;;;;;;;;;;;
Aesculus hippocastanum;76;Tilia platyphyllos;223;Juglans regia;150;Fagus sylvatica;59;Pinus nigra;204;Fagus sylvatica;187;Carpinus betulus;105;Fagus sylvatica;65;Fagus sylvatica;18;Fagus sylvatica;227;Fagus sylvatica;87;Fagus sylvatica;216;;;;;;;;;;;;
Aesculus hippocastanum;58;Caprinus betulus;170;Acer pseudoplatanus;165;Pinus nigra;206;Tilia platyphyllos;24;Fagus sylvatica;41;Carpinus betulus;110;Fagus sylvatica;143;Fagus sylvatica;154;Fagus sylvatica;214;Fagus sylvatica;61;Fagus sylvatica;24.5;;;;;;;;;;;;
Acer pseudoplatanus;377;Fagus sylvatica;340;Corylus avellana;300;Carpinus betulus;43;Fagus sylvatica;167;Carpinus betulus;68;Carpinus betulus;79;Fagus sylvatica;37;Fagus sylvatica;42;Acer platanoides;30;Fagus sylvatica;72;Fagus sylvatica;180;;;;;;;;;;;;
Populus tremuloides;109;Aesculus hippocastanum;390;Corylus avellana;280;Carpinus betulus;63;Carpinus betulus;41.5;Fagus sylvatica;178;Fagus sylvatica;154;Fagus sylvatica;40;Fagus sylvatica;19;Fagus sylvatica;214;Fagus sylvatica;33;Fagus sylvatica;46;;;;;;;;;;;;
Fraxinus excelsior;216;Aesculus hippocastanum;343;Acer pseudoplatanus;469;Fagus sylvatica;134.5;Pinus nigra;98;Pinus nigra;154;Carpinus betulus;111;Fagus sylvatica;98;Fagus sylvatica;117;Fagus sylvatica;61;Fagus sylvatica;90;Quercus petraea;180;;;;;;;;;;;;
Acer pseudoplatanus;275;Aesculus hippocastanum;366;Cupressacea;175;Fagus sylvatica;51;Fagus sylvatica;133;Fagus sylvatica;109.5;Carpinus betulus;119;Larix decidua;150;Fagus sylvatica;123;Fagus sylvatica;97;Fagus sylvatica;59;Fagus sylvatica;62;;;;;;;;;;;;
Fagus sylvatica;163;Aesculus hippocastanum;305;Corylus avellana;350;Carpinus betulus;47;Fagus sylvatica;166;Fagus sylvatica;35.7;Carpinus betulus;47;Fagus sylvatica;143;Fagus sylvatica;30;Fagus sylvatica;166;Fagus sylvatica;91;Carpinus betulus;86.5;;;;;;;;;;;;
Acer pseudoplatanus;222;Aesculus hippocastanum;379;Alnus;150;Pinus nigra;152;Larix decidua;198;Fagus sylvatica;185;Carpinus betulus;98;Larix decidua;171;Fagus sylvatica;157;Tilia cordata;116;Fagus sylvatica;28;Carpinus betulus;35.5;;;;;;;;;;;;
Carpinus betulus;125;Aesculus hippocastanum;411;Alnus;122;Carpinus betulus;83.5;Fagus sylvatica;112;Fagus sylvatica;35.5;Carpinus betulus;95;Fagus sylvatica;180;Carpinus betulus;56;Fraxinus excelsior;214;Fagus sylvatica;83;Carpinus betulus;53;;;;;;;;;;;;
Acer pseudoplatanus;330;Tilia platyphyllos;185;Platanus x hispanica;258;Fagus sylvatica;174;Fagus sylvatica;74;Fagus sylvatica;200;Fagus sylvatica;36;Acer platanoides;18;Carpinus betulus;46;Acer pseudoplatanus;25;Fagus sylvatica;83;Carpinus betulus;47;;;;;;;;;;;;
;;Aesculus hippocastanum;352;Acer pseudoplatanus;160;Carpinus betulus;82;Carpinus betulus;54;Aesculus hippocastanum;71;Fagus sylvatica;24;Carpinus betulus;95;Fraxinus excelsior;134;Acer pseudoplatanus;23;Fagus sylvatica;90;Carpinus betulus;26;;;;;;;;;;;;
;;Aesculus hippocastanum;360;;;Fagus sylvatica;153;Pinus nigra;205;;;Fagus sylvatica;180;Acer pseudoplatanus;23;Carpinus betulus;48;Fagus sylvatica;210;Fagus sylvatica;67;Fagus sylvatica;195;;;;;;;;;;;;
;;Tilia cordata;224;;;Fagus sylvatica;108;Carpinus betulus;75;;;Carpinus betulus;21;Carpinus betulus;140;Fagus sylvatica;126;Acer pseudoplatanus;20;Fagus sylvatica;109;Fagus sylvatica;34;;;;;;;;;;;;
;;;;;;Fagus sylvatica;169;Fagus sylvatica;76.5;;;Prunus avium;96;Carpinus betulus;29;Fagus sylvatica;90;Fraxinus excelsior;188;Fagus sylvatica;49;Fagus sylvatica;179;;;;;;;;;;;;
;;;;;;Fagus sylvatica;165;Pinus sylvestris;157;;;Fagus sylvatica;24;Carpinus betulus;89;Fagus sylvatica;134;Acer campestre;31;Fagus sylvatica;59;Carpinus betulus;61;;;;;;;;;;;;
;;;;;;Fagus sylvatica;213;Carpinus betulus;59;;;Fraxinus excelsior;149;Fagus sylvatica;91;Carpinus betulus;53;Larix decidua;213;Fagus sylvatica;114;Fagus sylvatica;202;;;;;;;;;;;;
;;;;;;Fagus sylvatica;159;Fagus sylvatica;185;;;Carpinus betulus;61;Fagus sylvatica;38;Fagus sylvatica;69;;;Fagus sylvatica;62;Carpinus betulus;30;;;;;;;;;;;;
;;;;;;;;Ulmus glabra;25.5;;;Fagus sylvatica;40;;;Sorbus torminalis;123;;;Fagus sylvatica;27;Fagus sylvatica;195;;;;;;;;;;;;
;;;;;;;;;;;;Carpinus betulus;47;;;Fagus sylvatica;79;;;Fagus sylvatica;89;Fagus sylvatica;41;;;;;;;;;;;;
;;;;;;;;;;;;Carpinus betulus;48;;;;;;;Fagus sylvatica;60;Fagus sylvatica;97;;;;;;;;;;;;
;;;;;;;;;;;;Carpinus betulus;57;;;;;;;Fagus sylvatica;182;Quercus petraea;147;;;;;;;;;;;;
;;;;;;;;;;;;Fagus sylvatica;114;;;;;;;Fagus sylvatica;69;;;;;;;;;;;;;;
;;;;;;;;;;;;Fraxinus excelsior;163;;;;;;;Fagus sylvatica;95;;;;;;;;;;;;;;
;;;;;;;;;;;;Carpinus betulus;36;;;;;;;Fagus sylvatica;97;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;Fagus sylvatica;55;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;Fraxinus excelsior;123;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;Fagus sylvatica;87;;;;;;;;;;;;;;
