plot;site;category;replicate;Anas platyrhynchos;Anthus trivialis;Apus apus;Carduelis carduelis;Certhia brachydactyla;Columba palumbus;Corvus corone;Delichon urbicum;Dendrocopos major;Dryobates minor;Dryocopus martius;Erithacus rubecula;Fringilla coelebs;Gallinula chloropus;Muscicapa striata;Parus caeruleus;Parus major;Passer domesticus;Phylloscopus collybita;Pyrrhula pyrrhula;Regulus ignicapilla;Sitta europaea;Sylvia atricapilla;Troglodytes troglodytes;Turdus merula;Turdus philomelos;Turdus viscivorus;n_bird_spec;n_bird_ind;canopy_cover;n_tree_spec;n_tree_ind;dbh_min;dbh_mean;dbh_max;n_microhabitats;latitude;longitude
1_kloster;1;park;1_1;;;;2;;4;1;;;;;;2;1;1;1;1;;;;;;1;;5;2;;11;21;70;6;11;18.46;58.68;120;5;51.562.921;99.227.607
1_kloster;1;park;1_2;;;7;;;2;5;;;;;;3;1;;3;2;;2;;1;;;1;6;;3;12;36;50;5;14;54.11;99.75;130.83;29;51.563.816;9.927.742
1_kloster;1;park;1_3;2;;3;;;4;4;;;1;;1;4;;;1;1;2;1;;;;1;1;5;;;14;31;15;7;12;38.83;73.03;149.29;7;51.563.831;9.929.237
2_cityforest;2;forest;2_1;;;;;1;3;;;3;;;;7;;;1;;;;;1;;;;3;;;7;19;85;4;18;13.69;39.33;67.8;6;515.309.415;999.656.671
2_cityforest;2;forest;2_2;;;;;;3;;;;;;;5;;;1;1;;;;1;;1;;1;;;7;13;80;7;19;7.64;35.14;65.25;16;515.299.841;99.670.468
2_cityforest;2;forest;2_3;;;;;;1;;;3;;;1;5;;;;2;;;1;;;2;1;1;;;9;17;85;4;12;11.3;38.4;63.66;13;515.297.134;99.685.237
3_weende;3;forest;3_1;;1;;;;;1;;;;;;4;;;2;;;2;;;;;;3;;;6;13;85;4;24;7.64;27.87;57.3;7;51.567.647;9.953.385
3_weende;3;forest;3_2;;;;;;3;2;;3;;1;1;3;;;;3;;3;;;;;;3;;;9;22;75;4;17;7.32;29.7;57.3;9;51.568.118;9.954.182
3_weende;3;forest;3_3;;;;;;2;3;;;;;;3;;;;3;;2;;;2;;;1;;;7;16;80;4;18;9.55;30.31;49.97;9;515.689.158;99.552.095
4_schlucht;4;forest;4_1;;;;;;1;;;1;;;;2;;;;2;;1;;2;;3;;;;;7;12;85;7;16;7.32;42.85;72.26;5;51.565.417;9.967.724
4_schlucht;4;forest;4_2;;;;;;1;2;;1;;;;2;;;2;1;;3;;1;;3;;2;;;10;18;80;2;28;8.59;25.93;57.93;6;5.156.493;9.966.974
4_schlucht;4;forest;4_3;;;;;;2;;;;;;1;2;;;;1;;2;;1;;5;;1;;;8;15;35;3;22;7.8;33.4;68.75;8;51.564.554;996.537
5_cheltenham;5;park;5_1;;;1;;;5;;;;;;;1;;;;2;8;1;;;;;;1;;;7;19;35;9;15;9.87;59.18;131.46;3;51.533.173;9.942.622
5_cheltenham;5;park;5_2;;;3;;;4;1;;1;;;;1;;;;3;;2;;;;;;2;;;8;17;55;7;15;31.51;67.33;126.05;1;51.531.902;9.942.084
5_cheltenham;5;park;5_3;;;7;1;1;4;;1;;;;;;;;;3;;2;;;;1;;4;;;8;24;20;10;16;9.39;58.06;118.41;3;51.531.605;9.940.694
